,year,month,rain_1h_Barcelona,rain_1h_Bilbao,rain_1h_Madrid,rain_1h_Seville,rain_1h_Valencia,date,total
0,2014,12,0.0,0.0,0.0,0.0,0.0,2014/12,0.0
1,2015,1,64.8,382.5,25.8,40.2,10.2,2015/01,523.5000000000001
2,2015,2,218.1,487.8,29.4,24.599999999999998,25.2,2015/02,785.1
3,2015,3,261.0,397.8,134.1,152.7,360.3,2015/03,1305.8999999999999
4,2015,4,45.0,141.3,84.3,111.9,47.4,2015/04,429.9
5,2015,5,33.3,378.9,6.8999999999999995,6.8999999999999995,15.0,2015/05,440.99999999999994
6,2015,6,163.5,144.0,22.5,9.6,49.8,2015/06,389.40000000000003
7,2015,7,77.1,26.1,0.8999999999999999,3.6,8.4,2015/07,116.1
8,2015,8,148.5,24.6,3.5999999999999996,1.7999999999999998,39.0,2015/08,217.5
9,2015,9,181.8,37.5,9.0,5.7,35.1,2015/09,269.1
10,2015,10,56.4,85.8,22.2,55.5,28.8,2015/10,248.7
11,2015,11,30.0,75.6,26.1,21.0,33.3,2015/11,186.0
12,2015,12,10.799999999999999,15.9,11.1,12.6,11.7,2015/12,62.099999999999994
13,2016,1,11.1,84.0,44.4,39.0,12.6,2016/01,191.1
14,2016,2,24.6,137.1,28.5,26.7,6.8999999999999995,2016/02,223.79999999999998
15,2016,3,21.9,111.3,36.6,27.3,17.7,2016/03,214.79999999999998
16,2016,4,54.3,69.9,63.0,39.0,43.8,2016/04,270.0
17,2016,5,90.3,55.8,45.3,75.9,44.24,2016/05,311.53999999999996
18,2016,6,1012.5,57.9,7.8,0.0,8.1,2016/06,1086.3
19,2016,7,267.6,38.7,6.0,1.2,6.9,2016/07,320.4
20,2016,8,19.2,34.199999999999996,14.7,0.0,8.4,2016/08,76.5
21,2016,9,81.6,83.4,2.1,3.9,37.5,2016/09,208.5
22,2016,10,106.2,52.5,55.199999999999996,54.9,51.6,2016/10,320.4
23,2016,11,40.2,77.4,75.0,47.1,30.6,2016/11,270.3
24,2016,12,39.6,20.4,24.6,38.1,37.2,2016/12,159.89999999999998
25,2017,1,44.1,63.0,9.9,11.1,39.9,2017/01,168.0
26,2017,2,40.8,57.3,43.2,57.3,17.1,2017/02,215.70000000000002
27,2017,3,44.1,43.8,18.6,53.1,12.6,2017/03,172.2
28,2017,4,41.7,30.3,21.0,21.9,7.5,2017/04,122.4
29,2017,5,17.1,29.1,30.9,27.9,0.3,2017/05,105.3
30,2017,6,13.8,31.5,20.4,0.3,3.6,2017/06,69.59999999999998
31,2017,7,10.8,31.8,17.4,2.6999999999999997,1.7999999999999998,2017/07,64.5
32,2017,8,16.5,34.2,14.4,6.6000000000000005,10.8,2017/08,82.5
33,2017,9,33.3,48.6,0.0,0.6,1.8,2017/09,84.3
34,2017,10,40.5,21.3,14.7,13.2,2.1,2017/10,91.8
35,2017,11,14.4,76.2,9.3,26.7,5.7,2017/11,132.3
36,2017,12,12.299999999999999,99.3,15.0,17.4,0.0,2017/12,144.0
37,2018,1,30.6,81.3,37.8,32.4,4.8,2018/01,186.9
38,2018,2,60.6,92.7,35.7,19.8,25.2,2018/02,234.0
39,2018,3,48.0,68.7,131.4,141.3,9.3,2018/03,398.70000000000005
40,2018,4,32.1,79.2,60.9,41.7,8.1,2018/04,222.00000000000003
41,2018,5,26.7,54.6,59.1,12.9,2.4,2018/05,155.70000000000002
42,2018,6,21.6,28.2,38.7,0.6,2.6999999999999997,2018/06,91.8
43,2018,7,8.7,25.2,2.1,0.0,0.0,2018/07,36.0
44,2018,8,16.2,19.8,9.6,0.0,0.6,2018/08,46.2
45,2018,9,32.4,12.9,25.8,4.2,5.4,2018/09,80.7
46,2018,10,78.0,48.9,55.8,64.8,41.4,2018/10,288.9
47,2018,11,57.0,53.699999999999996,55.8,76.5,32.1,2018/11,275.1
48,2018,12,3.3,26.099999999999998,11.7,10.2,3.3,2018/12,54.599999999999994
